Russian,English
и,and
в,in
не,not
на,on the
я,I
быть,to be
с,With
он,he
что,what
а,a
это,this is
этот,this
по,on
к,to
но,but
они,they
мы,we
она,she is
как,how
то,then
который,which the
из,from
у,u
свой,mine
вы,you
весь,All
за,per
для,for
от,from
мочь,To be able
так,So
ты,you
о,about
что,what
человек,human
же,the same
год,year
всё,all
такой,such
тот,that
или,or
если,if
только,only
его,his
один,one
бы,would
себя,myself
время,time
ещё,yet
другой,another
уже,already
когда,when
сказать,to tell
до,before
мой,my
наш,our
чтобы,to
становиться,become
говорить,talk
самый,most
знать,know
вот,here
очень,very
кто,who
при,at
день,day
можно,can
жизнь,life
первый,the first
сам,myself
дело,a business
два,two
новый,new
даже,even
хотеть,to want
должен,must
раз,once
их,them
работа,Work
какой,which
иметь,have
со,CO
там,there
после,after
понимать,understand
ли,Lee
где,where
рука,hand
город,city
вопрос,question
её,her
под,under
давать,give
слово,word
нет,No
место,place
каждый,each
без,without
ребёнок,child
ну,well
более,more
друг,friend
идти,go
большой,big
просто,simply
начинать,start off
чем,how
сделать,do
ваш,your
надо,necessary
здесь,here
Россия,Russia
делать,do
видеть,see
потом,after
да,Yes
ничто,nothing
получать,receive
сейчас,now
через,through
много,a lot of
мир,world
теперь,now
оставаться,stay
случай,happening
думать,think
ни,Neither
сторона,side
хороший,good
глаз,eye
тогда,then
тут,here
несколько,several
тоже,too
приходить,come
дом,house
страна,country
работать,work
отвечать,reply
последний,last
лицо,face
жить,live
сила,strength
женщина,woman
выходить,go out
часть,part
также,also
всегда,always
являться,to be
система,system
вид,view
голова,head
конец,the end
находить,find
между,between
оказываться,come to
хотя,although
смотреть,watch
конечно,certainly
проблема,problem
принимать,accept
спрашивать,to ask
проходить,pass
отношение,attitude
три,three
второй,second
перед,before
лишь,only
именно,exactly
образ,image
поэтому,that's why
почему,why
Москва,Moscow
любой,any
однако,but
никто,nobody
час,hour
решать,decide
деньги,money
считать,count
над,above
земля,Earth
сегодня,today
русский,Russian
вообще,generally
взять,take
книга,book
хорошо,Good
пойти,Go
некоторый,some
компания,company
история,story
многие,many
приходиться,To have
любить,be in love
возможность,possibility
нужно,need
всё,all
результат,result
больше,more
высокий,high
например,for example
почти,nearly
писать,write
возвращаться,come back
сидеть,sit
уходить,leave
твой,your
машина,car
группа,Group
пока,bye
находиться,be
право,right
увидеть,see
война,war
путь,path
что-то,something
ведь,after all
стоять,stand
имя,name
никогда,never
помогать,to help
стоить,cost
ответ,answer
появляться,appear
бог,God
вода,water
совсем,at all
язык,language
показывать,show
